BSR Band,Actual Sales Volume,Simulated Sales,Adjusted Actual Sales,Estimated Sales (Theory),Estimated Sales (Category Curve),Adjusted Sales (Full Logic),Final Estimated Sales,Daily Profit,ROI %,Offer Count,Review Count,Error - Theory vs Actual,Error - Full Logic vs Actual,Error - Category vs Actual,Accuracy - Theory,Accuracy - Full Logic,Accuracy - Category
0–100,9.6,0.0333333333333333,231.1408610885459,18137.83782593405,108.10810141972551,13457.92695016202,108.10810141972551,0.01739999999999994,11.035940803382653,10.6,28675.2,17906.696964845505,13226.786089073477,142.10315632044157,-133.02400258199015,-97.15949997215843,0.5305960264900662
101–500,0.6153846153846154,9.911538461538461,0.6153846153846154,60.02908189595984,1.5615258905408957,43.44794727897555,1.5615258905408957,14.19808974358974,33.426520170020474,10.08974358974359,11862.884615384615,59.41369728057522,42.832562663590934,1.3587526522900166,-inf,-inf,-inf
"501–1,000",1.0161290322580645,7.2924731182795695,1.2902118729946412,40.001422119899935,2.876919351723272,29.484565825021278,2.876919351723272,16.7595,95.97337305298281,10.919354838709678,8288.177419354839,38.786652692135426,28.421357212074824,2.3317466513817258,-inf,-inf,-inf
"1,001–2,500",2.2593984962406015,7.844235588972431,6.628020388438549,75.592248020229,7.527741468830283,52.55239428748291,7.527741468830283,39.35067042606516,155.7538229716841,12.01937984496124,4853.0515873015875,72.79955500183809,50.43988116022971,8.985844389377537,-inf,-inf,-inf
"2,501–5,000",2.0409356725146197,9.221345029239766,11.15258543251166,56.19981140993803,9.399010522423051,42.23206767379591,9.399010522423051,21.673461013645223,62.350011193320775,9.965925925925927,2612.640416047548,49.500678037058826,37.814135248162685,14.64243250411739,-inf,-inf,-inf
"5,001–10,000",1.3939024390243901,3.728089430894309,4.428224830950999,13.939343401410223,3.005338449043428,10.473012714324751,3.005338449043428,12.033490243902438,110.31867067786665,8.918417799752781,1963.4282018111255,12.705422629352455,10.249528765126184,5.184027767231186,-inf,-inf,-inf
"10,001–25,000",0.8634403449928126,2.5695895224405043,1.7106829384348399,5.153099390066952,1.5896508482990745,4.041747769897634,1.5896508482990745,8.291735345791407,72.489775212048,8.555286129970902,1391.9721407624634,4.916660998312916,4.122091040439644,2.255139404943701,-inf,-inf,-inf
"25,001–50,000",0.5721830985915493,0.9295970266040688,0.7817322454907119,1.3216983920021517,0.6729708269547829,1.1088147585222938,0.6729708269547829,3.199555946791863,51.07000816759919,7.949223416965353,1219.7681246255243,1.509347198569856,1.398660073269525,0.992060808423672,-inf,-inf,-inf
"50,000+",0.23176123802505527,0.37568165070007364,0.3930344638510245,0.5642699705389467,0.3416699727865461,0.46935781055694686,0.3416699727865461,1.4518709162367969,56.42706034022428,8.266318537859007,1056.6107583115427,0.784783842693631,0.7197491990463111,0.609590286814619,-inf,-inf,-inf
